MaterialComposition,Family,LongName,,
"Pb,1,Mg,0.29,Nb,0.58,O,3,Ti,0.13",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Sr,1,Bi,2,Ta,2,O,9",SBT,SrBi2Ta2O9,,
"Pb,3,Mg,0.71,Nb,1.42,Ti,0.87,O,9",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Pb,0.8,Ba,0.2,Zr,1,O,3",PBZ,Pb0.8Ba0.2ZrO 3,,
"Sr,1,Bi,1.85,Pr,0.15,Nb,0.4,Ta,1.6,O,9",SBPNT,SrBi1.85Pr0.15(Nb0.2Ta0.8)2O9,,
"Ba,1,Zr,0.05,Ti,0.95,O,3",BZT,Ba(ZrxTi1-x)O3 ,,
"Ba,1,Zr,0.1,Ti,0.9,O,3",BZT,Ba(ZrxTi1-x)O3 ,,
"Ba,1,Zr,0.25,Ti,0.75,O,3",BZT,Ba(ZrxTi1-x)O3,,
"Ba,1,Zr,0.3,Ti,0.7,O,3",BZT,Ba(ZrxTi1-x)O3,,
"Ba,0.67,Sr,0.33,Ti,1,O,3",BST,Ba(ZrxTi1-x)O3,,
"Ba,0.6815,Sr,0.3135,Ti,0.995,Ca,0.005,Zr,0.005,O,3",BST-BCTZ,(1?x)Ba0.67Sr0.33TiO3?xBa0.9 Ca0.1Ti0.9Zr0.1O3 ,,
"Ba,0.693,Sr,0.297,Ti,0.99,Ca,0.01,Zr,0.01,O,3",BST-BCTZ,(1?x)Ba0.67Sr0.33TiO3?xBa0.9 Ca0.1Ti0.9Zr0.1O3 ,,
"Ba,0.716,Sr,0.264,Ti,0.98,Ca,0.02,Zr,0.02,O,3",BST-BCTZ,(1?x)Ba0.67Sr0.33TiO3?xBa0.9 Ca0.1Ti0.9Zr0.1O3 ,,
"Pb,3,Mg,1,Nb,2,O,9",PMN,Pb(Mg1/3Nb2/3)O3,,
"Pb,3,Mg,0.95,Nb,1.9,Ti,0.15,O,9",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Pb,3,Mg,0.9,Nb,1.8,Ti,0.3,O,9",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Pb,3,Mg,0.85,Nb,1.7,Ti,0.45,O,9",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Pb,3,Mg,0.8,Nb,1.6,Ti,0.6,O,9",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Pb,3,Mg,0.75,Nb,1.5,Ti,0.75,O,9",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Ba,0.895,Zr,0.13,Ti,0.87,Ca,0.105,O,3",BZT-BCT,(1-x)Ba(Zr0.2Ti0.8)O3?(x)(Ba0.7Ca0.3)TiO3,,
"Pb,1,Mg,0.3,Nb,0.6,Ti,0.1,O,3",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"Pb,0.89,La,0.11,Zr,0.68075,Ti,0.29175,O,3",PLZT,(Pb 1-x La x )(Zr 0.4 Ti 0.6) 1-x/4 O3,,
"Pb,0.93,La,0.07,Zr,0.8056,Ti,0.17685,O,3",PLZT,(Pb 1-x La x )(Zr 0.4 Ti 0.6) 1-x/4 O3,,
"Pb,3,Mg,0.65,Nb,1.30,Ti,1.05,O,9",PMN-PT,(1-x)[Pb(Mg1/3Nb2/3)O3]-x[PbTiO3],,
"K,0.425,Na,0.425,Nb,0.85,Sr,0.15,Ti,0.15,O,3",KNN-STO,0.85K0.5Na0.5NbO3?0.15SrTiO3,,
"Na,0.46,Bi,0.46,Ti,1,Ba,0.08,O,3",NBT-BT,(1-x) Na0.5Bi0.5TiO3 ? x BaTiO3,,
"Na,0.47,Bi,0.47,Ti,1,Ba,0.06,O,3",NBT-BT,(1-x) Na0.5Bi0.5TiO3 ? x BaTiO3,,
"Na,0.4465,Bi,0.4465,Ti,1,Ba,0.057,Ca,0.05,O,3",LiCa-NBT-BT,"(x, y)(Li, Ca)-NBT-06BT",,
"Na,0.41078,Li,0.03572,Bi,0.4465,Ba,0.057,Ti,1,Ca,0.05,O,3",LiCa-NBT-BT,"(x, y)(Li, Ca)-NBT-06BT",,
"Na,0.40185,Li,0.04465,Bi,0.4465,Ba,0.057,Ti,1,Ca,0.05,O,3",LiCa-NBT-BT,"(x, y)(Li, Ca)-NBT-06BT",,
"Na,0.39292,Li,0.05358,Bi,0.4465,Ba,0.057,Ti,1,Ca,0.05,O,3",LiCa-NBT-BT,"(x, y)(Li, Ca)-NBT-06BT",,
"Na,0.38399,Li,0.06251,Bi,0.4465,Ba,0.057,Ti,1,Ca,0.05,O,3",LiCa-NBT-BT,"(x, y)(Li, Ca)-NBT-06BT",,
"Na,0.31255,Li,0.13395,Bi,0.4465,Ba,0.057,Ti,1,Ca,0.05,O,3",LiCa-NBT-BT,"(x, y)(Li, Ca)-NBT-06BT",,
"Bi,0.45,Na,0.45,Ti,1,Ba,0.1,O,3",NBT-BT,(1-x) Na0.5Bi0.5TiO3 ? x BaTiO3,,
"Pb,0.97,La,0.02,Zr,0.95,Ti,0.05,O,3",PLZT,Pb0.97La0.02(Zr0.95Ti0.05)O3 ,,
"Bi,0.5,Na,0.5,Ti,O,3",NBT,Bi0.5Na0.5TiO3,,
"Bi,0.48,Na,0.48,Ti,0.96,K,0.04,Nb,0.04,O,3",BNT?xKN,(1-x)Bi0.5Na0.5TiO3-xKNbO3 ,,
"Bi,0.47,Na,0.47,Ti,0.94,K,0.06,Nb,0.06,O,3",BNT?xKN,(1-x)Bi0.5Na0.5TiO3-xKNbO3 ,,
"Bi,0.46,Na,0.46,Ti,0.92,K,0.08,Nb,0.08,O,3",BNT?xKN,(1-x)Bi0.5Na0.5TiO3-xKNbO3 ,,
"Pb,0.99,Nb,0.02,Zr,0.85,Sn,0.13,Ti,0.02,O,3",PNZST,"Pb(Nb,Zr,Sn,Ti)O3 ",,
"Pb,0.97,La,0.02,Zr,0.75,Sn,0.16,Ti,0.09,O,3",PLZST,"(Pb,La)(Zr,Sn,Ti)O3 ",,
"Ba,1,Hf,0.10,Ti,0.90,O,3",BHT,"Ba,1,Hf,0.10,Ti,0.90,O,3",,
